post_id,title,category,score,num_comments,author,collected_at
47625952,Show HN: I built a frontpage for personal blogs,entertainment,429,131,ramkarthikk,2026-04-03 20:57:59
47618223,We replaced RAG with a virtual filesystem for our AI documentation assistant,technology,17,5,denssumesh,2026-04-03 20:58:02
47562325,Understanding young news audiences at a time of rapid change,technology,15,1,giuliomagnifico,2026-04-03 20:58:03
47562135,Show HN: TurboQuant for vector search – 2-4 bit compression,entertainment,32,2,justsomeguy1996,2026-04-03 20:58:05
47629505,Solana Drift Protocol drained of $285M via fake token and governance hijack,technology,8,0,anonhaven,2026-04-03 20:58:07
47624645,Show HN: Apfel – The free AI already on your Mac,technology,544,122,franze,2026-04-03 20:58:12
47622616,The Technocracy Movement of the 1930s,technology,14,3,lazydogbrownfox,2026-04-03 20:58:14
47561426,What Category Theory Teaches Us About DataFrames,technology,138,42,mchav,2026-04-03 20:58:15
47579818,What we learned building 100 API integrations with OpenCode,technology,69,15,rguldener,2026-04-03 20:58:24
47573728,Intel Assured Supply Chain Product Brief,technology,42,9,aw-engineer,2026-04-03 20:58:27
47618189,Tailscale's new macOS home,technology,530,277,tosh,2026-04-03 20:58:28
47625244,Critics say EU risks ceding control of its tech laws under U.S. pressure,technology,186,112,nickslaughter02,2026-04-03 20:59:32
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,technology,35,12,tosh,2026-04-03 21:00:34
47562455,The True Shape of Io's Steeple Mountain,technology,101,2,carlosjobim,2026-04-03 21:00:35
47617415,Good ideas do not need lots of lies in order to gain public acceptance (2008),technology,334,175,sedev,2026-04-03 21:00:36
47629608,Tech Companies Are Trying to Neuter Colorado's Landmark Right-to-Repair Law,technology,7,1,liz_ifixit,2026-04-03 21:00:38
47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,technology,118,6,01-_-,2026-04-03 21:01:46
47617376,OpenAI Acquires TBPN,technology,230,188,surprisetalk,2026-04-03 21:01:49
47615490,Artemis computer running two instances of MS outlook; they can't figure out why,technology,462,351,mooreds,2026-04-03 21:01:52
47612724,Lemonade by AMD: a fast and open source local LLM server using GPU and NPU,technology,539,111,AbuAssar,2026-04-03 21:01:53
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,569,197,pretext,2026-04-03 21:01:55
47621438,Show HN: Made a little Artemis II tracker,entertainment,135,52,codingmoh,2026-04-03 21:01:56
47620933,Memo: A language that remembers only the last 12 lines of code,technology,55,34,notem,2026-04-03 21:02:00
47623101,A Rave Review of Superpowers (For Claude Code),technology,39,22,emschwartz,2026-04-03 21:02:05
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,technology,146,45,jackson-mcd,2026-04-03 21:02:09
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,756,357,hkmaxpro,2026-04-03 21:02:15
47560959,Show HN: Home Maker: Declare Your Dev Tools in a Makefile,entertainment,87,58,sthottingal,2026-04-03 21:02:16
47625385,"H.264 Streaming Fees: What Changed, Who's Affected, and What It Means",entertainment,67,38,phantomathkg,2026-04-03 21:02:19
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,285,140,Growtika,2026-04-03 21:02:21
47611921,Significant raise of reports,technology,301,153,stratos123,2026-04-03 21:02:22
47624879,Switzerland hosts 'CERN of semiconductor research',science,30,6,teleforce,2026-04-03 21:02:24
47625860,Ubuntu now has higher system hardware requirements than Windows 11,worldnews,18,6,bundie,2026-04-03 21:02:29
47626347,F-15E Wreckage Photos Amid Iranian Claims It Shot Down an American Fighter,technology,34,17,uticus,2026-04-03 21:02:31
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",technology,17,6,arttaboi,2026-04-03 21:02:33
